"","PEC","voters","turnout_point","invalid","home_vote"
"1",530048,952,31,1,38
"2",530073,651,38,1,34
"3",530060,768,39,2,31
"4",530173,809,22,2,30
"5",530074,1332,46,1,28
"6",530166,526,31,2,27
"7",530071,1167,19,3,25
"8",530713,761,32,1,25
"9",530062,646,43,1,24
"10",530432,731,30,2,24
"11",530049,890,42,2,23
"12",530169,1070,24,5,23
"13",530438,855,34,2,23
"14",530712,668,43,1,23
"15",530075,821,36,1,22
"16",530076,811,36,2,22
"17",530723,678,24,3,22
"18",530507,776,39,1,21
"19",530051,531,44,3,20
"20",530457,863,30,3,20
"21",530496,674,39,3,20
"22",530052,662,37,2,19
"23",530168,537,32,2,19
"24",530698,501,37,3,19
"25",530701,708,33,2,19
"26",530918,644,36,1,19
"27",530053,972,33,1,18
"28",530070,842,39,3,18
"29",530077,532,38,3,18
"30",530472,781,46,2,18
"31",530164,598,38,5,17
"32",530468,1032,56,2,17
"33",530689,979,45,2,17
"34",530929,762,35,2,17
"35",530172,643,40,3,16
"36",530456,812,31,1,16
"37",530464,917,36,3,16
"38",530921,598,45,3,16
"39",530085,698,43,0,15
"40",530149,1056,23,4,15
"41",530428,518,48,1,15
"42",530459,643,44,2,15
"43",530696,785,42,2,15
"44",530439,794,34,1,14
"45",530694,1439,37,3,14
"46",530058,883,45,3,13
"47",530079,627,29,1,13
"48",530146,920,21,3,13
"49",530158,739,28,0,13
"50",530160,534,44,0,13
"51",530175,726,27,2,13
"52",530427,579,36,2,13
"53",530495,636,34,1,13
"54",530511,885,29,4,12
"55",530915,766,42,3,12
"56",530043,1884,27,4,11
"57",530067,1219,27,4,11
"58",530453,552,36,2,11
"59",530465,701,39,3,11
"60",530920,607,35,3,11
"61",530068,1113,24,2,10
"62",530072,821,27,3,10
"63",530417,1423,35,2,10
"64",530717,2108,28,4,10
